Theta(deg),Phi(deg),rEPhi_Real,rEPhi_Imag,rETheta_Real,rETheta_Imag,rETotal,RealizedGain,RealizedGain_Total,RealizedGain_dB,RealizedGain_Theta,RealizedGain_Phi,Gain,Gain_Total,Gain_dB,Gain_Theta,Gain_Phi,Directivity,Directivity_Total,Directivity_dB,Directivity_Theta,Directivity_Phi
45.0,60.0,-0.08062634972855796,0.005785489973651858,0.025750011793146045,-0.05756148725683601,0.1025205739710475,0.017517034126800113,0.017517034126800113,-17.565394239328846,0.006627157074459787,0.010889877052340326,1.6682889644571535,1.6682889644571535,2.222712769971775,0.6311578166152179,1.0371311478419358,1.8635142688085227,1.8635142688085227,2.703327224674169,0.7050167100489135,1.1584975587596094
45.0,65.0,-0.08077779967567279,0.00657479383361931,0.018963832140353493,-0.05844921382136475,0.1017065305680065,0.017239957775847633,0.017239957775847633,-17.634638021852524,0.006293080950352398,0.010946876825495236,1.6419007405569175,1.6419007405569175,2.1534689874480977,0.5993410428907046,1.0425596976662128,1.8340380612603864,1.8340380612603864,2.634083442150491,0.6694766968459999,1.1645613644143868
45.0,70.0,-0.08047977788804346,0.0075422317501817595,0.012179097074083678,-0.0592108505587098,0.10093629247256944,0.016979825200880833,0.016979825200880833,-17.700667849214916,0.006090281900852114,0.010889543300028717,1.6171262096076984,1.6171262096076984,2.0874391600857027,0.5800268477002013,1.0370993619074969,1.8063643830724292,1.8063643830724292,2.5680536147880972,0.6479023298778845,1.1584620531945444
45.0,75.0,-0.07975905908295892,0.00868421684833154,0.005419170726394449,-0.05979516411684128,0.10020854350398259,0.01673585937029727,0.01673585937029727,-17.763519821292924,0.0060079068976925205,0.010727952472604755,1.5938913685997402,1.5938913685997402,2.024587188007694,0.5721816093040495,1.021709759295691,1.7804105713082208,1.7804105713082208,2.5052016427100887,0.6391390316694171,1.1412715396388036
45.0,80.0,-0.0786335858119606,0.009983228514308214,-0.0012972895585612416,-0.06015128982065354,0.09951264390268645,0.0165042216696605,0.0165042216696605,-17.82404951948147,0.006032958914431731,0.010471262755228772,1.571830635205762,1.571830635205762,1.9640574898191505,0.5745675156601648,0.9972631195455973,1.7557682627298408,1.7557682627298408,2.444671944521545,0.6418041398331629,1.113964122896678
45.0,85.0,-0.07711098680301694,0.011407243338498869,-0.00795425522465527,-0.06023200580812373,0.09883012792750794,0.01627860680105026,0.01627860680105026,-17.883827667998393,0.006151796235668426,0.010126810565381835,1.5503435048619294,1.5503435048619294,1.904279341302226,0.5858853557779453,0.9644581490839843,1.7317666809627934,1.7317666809627934,2.3848937960046204,0.6544464080498327,1.0773202729129614
45.0,90.0,-0.07518825618378004,0.012910368497376158,-0.01453578410110592,-0.05999715677925505,0.09813714548388013,0.016051120723010622,0.016051120723010622,-17.944946388462235,0.0063514301011081895,0.009699690621902433,1.5286781640962497,1.5286781640962497,1.8431606208383875,0.6048981048674466,0.9237800592288032,1.7075660343628323,1.7075660343628323,2.323775075540782,0.675684053309382,1.0318819810534505
45.0,95.0,-0.07285266697020643,0.014434672886847605,-0.021023332550080855,-0.05941692266829197,0.09740750523908911,0.015813330913754642,0.015813330913754642,-18.00976640814326,0.006620429380149874,0.009192901533604775,1.5060315155956803,1.5060315155956803,1.778340601157359,0.6305170838237975,0.8755144317718832,1.6822692461441109,1.6822692461441109,2.258955055859753,0.7043009978882845,0.977968248255827
45.0,100.0,-0.07008384306672748,0.015913089633459505,-0.02739329171528815,-0.05847463329149564,0.09661597512967493,0.015557377899367104,0.015557377899367104,-18.080635988499484,0.00694929489686404,0.008608083002503068,1.4816550380349622,1.4816550380349622,1.7074710208011372,0.6618376092251467,0.8198174288098159,1.6550402020603305,1.6550402020603305,2.188085475503532,0.7392866911557491,0.9157535109045818
45.0,105.0,-0.06685675787375213,0.01727315681225174,-0.03361509288483773,-0.05716886080963973,0.09574153297069347,0.015277041979361453,0.015277041979361453,-18.159607279856672,0.007330249165850686,0.007946792813510763,1.454956378986805,1.454956378986805,1.6284997294439476,0.6981189681762557,0.756837410810549,1.625217231846963,1.625217231846963,2.109114184146342,0.7798137410479454,0.8454034907990176
45.0,110.0,-0.0631453026102768,0.018441281366578424,-0.03965013437972818,-0.05551457358013091,0.09477030725020899,0.014968665912289942,0.014968665912289942,-18.248169045834086,0.007756485657748479,0.007212180254541465,1.425587229741899,1.425587229741899,1.5399379634665329,0.7387129197855694,0.6868743099563299,1.5924112672648876,1.5924112672648876,2.020552418168928,0.8251580486966468,0.7672532185682409
45.0,115.0,-0.05892600426193505,0.019347161798499622,-0.04545164727728497,-0.05354320679855048,0.09369799294769329,0.0146318450910283,0.0146318450910283,-18.347009054312934,0.008221018377739756,0.0064108267132885425,1.3935090562884096,1.3935090562884096,1.4410979549876854,0.78295413121331,0.6105549250750993,1.556579265003011,1.556579265003011,1.9217124096900806,0.8745764231638039,0.6820028418392068
45.0,120.0,-0.054181484500977595,0.019927993320057725,-0.05096547283629013,-0.05130159743202105,0.0925315702935907,0.014269816317717789,0.014269816317717789,-18.455816171246664,0.008715350208417495,0.005554466109300291,1.3590301254969321,1.3590301254969321,1.3322908380539538,0.8300333531826186,0.5289967723143134,1.5180655657146584,1.5180655657146584,1.8129052927563487,0.9271649157890954,0.5909006499255629
45.0,125.0,-0.04890333019121233,0.02013210716344199,-0.05613160029209978,-0.048849840324503145,0.09129020152082347,0.013889507598638082,0.013889507598638082,-18.57313150301614,0.009228221676593219,0.004661285922044869,1.322810247489341,1.322810247489341,1.2149755062844778,0.8788782549136398,0.44393199257570176,1.4776071913444768,1.4776071913444768,1.6955899609868723,0.9817257102758744,0.4958814810686031
